REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MSP52220002,Person,07,304bc4a4-1059-4441-aadb-60903519d026,
MSP52220002,Person,60.88,304bc4a4-1059-4441-aadb-60903519d026,
MSP52220002,Person,09,304bc4a4-1059-4441-aadb-60903519d026,
MSP52220002,Person,00,e8592be5-1841-4357-a960-05907f425894,
MSP6367005D,Person,00,8ee88eeb-09ba-4a7f-a8fd-0f8513296983,
MCP2639000W,Person,07,218c39ce-19bc-4430-a561-1b1c725df8c0,
AE5202000B,Person,09,f2f0664c-edf5-414e-8294-1e0327a03c31,
MSP6033009K,Person,07,3f2bf719-2d96-4ae6-bf56-f0e2e925459f,
MSP6033009K,Person,60.88,3f2bf719-2d96-4ae6-bf56-f0e2e925459f,
MSP6033009K,Person,11,3f2bf719-2d96-4ae6-bf56-f0e2e925459f,
MSP6033009K,Person,00,737480bc-87ec-4fd4-abf1-0a5ccd69acfe,
ZR0241000M,Person,07,6471aac4-51f3-4a9b-86c0-11d648f512b5,
CB5820000K,Person,07,c01f3bd7-7f04-42fb-bc5c-f386b196be83,
DA3649000J,Person,00,60ed52a0-f01e-4b6f-85b8-de80f041bc34,
MDTA08540006,Person,07,05a7e15b-17a8-44de-8a50-2865428477df,
MDTA08540006,Person,21,05a7e15b-17a8-44de-8a50-2865428477df,
ADG557000C,Person,00,e4e82465-8f4e-4f6b-b1e5-5bee329a5147,
AC0985000V,Person,00,b90b488b-d232-4b56-bda8-f9b7aa146c43,
AE5489000F,Person,07,76e90c8e-52e3-4a23-88ff-9193a31061d9,
MSP6311000K,Person,60.88,b13f13d9-bd9c-41e4-9e29-be7dcb99faf0,
MSP6311000K,Person,22,b13f13d9-bd9c-41e4-9e29-be7dcb99faf0,
MSP6311000K,Person,07,b13f13d9-bd9c-41e4-9e29-be7dcb99faf0,
ZG07320008,Person,00,d20a4f60-7d2d-4d1a-86a7-b23943d1a79c,
BW01570004,Person,02,7f002752-12b2-4412-ab91-cd027f4d5700,
DE2182000M,Person,11,43234498-cf4d-44f9-af54-355d6de67d7e,
DA37310006,Person,15,3fecd7a2-536d-4078-bb9e-9abd0df38858,
DA37310006,Person,09,3fecd7a2-536d-4078-bb9e-9abd0df38858,
DA37310006,Person,07,3fecd7a2-536d-4078-bb9e-9abd0df38858,
DA37310006,Person,24,3fecd7a2-536d-4078-bb9e-9abd0df38858,
DA37310006,Person,00,fd3a07c9-0fee-4611-b1aa-a3efd180da0c,
DA3638000H,Person,00,d5387eb6-5807-4e63-9318-255eccaaedf4,
MCP2727000L,Person,00,71da86b3-c53f-4d49-8cd5-827dd12d1281,
MCP2727000L,Person,00,4576407b-1137-427a-9123-7a9080256bb3,
AC17010011,Person,00,5dc04118-b531-4123-823f-eafe0c7e4e2b,
AC1588003D,Person,23,74917d4b-b18e-49cd-9293-07b3f0a1759b,
AE51430008,Person,00,aca24a6a-5333-417e-83fb-1f71779d38e4,
ZF04270008,Person,00,dc6228c8-6097-4365-9ccf-d7a6746e2dfc,
EL03470006,Person,07,d08cc243-6467-4e21-8679-c36a5f102fdc,
EL03470006,Person,00,cd30d885-bf9a-45e5-8dee-f189b2c8507f,
MSP6510000Y,Person,60.88,f46b21a4-6ade-4013-9856-26d8506bbf6f,
MSP6510000Y,Person,22,f46b21a4-6ade-4013-9856-26d8506bbf6f,
MSP6510000Y,Person,21,f46b21a4-6ade-4013-9856-26d8506bbf6f,
ADJ5770007,Person,00,7da6e054-16fb-4ef7-b806-e6e87107ecee,
ADJ5770007,Person,75.88,0322a2c8-c24d-4cec-936c-10632944284c,
MCP2613000D,Person,22,3398e50e-5994-4b06-8779-fa6a87d2690d,
MCP2613000D,Person,00,d4ee6fdc-f165-4ff9-a992-a90a087e2ebd,
ZR02990009,Person,07,cb76faf7-a96c-400a-9e4f-0962ae92b7f5,
ZR02990009,Person,22,cb76faf7-a96c-400a-9e4f-0962ae92b7f5,
ZR02990009,Person,00,3aa60622-ab98-46f3-9ef5-01aa87861349,
ZI01820003,Person,00,775e14c6-2606-461f-b984-cb23ef236d08,
DA3733000N,Person,00,cfb28bfd-c6a8-4e33-8736-7829264904d6,
ADI3350009,Person,00,e7f0269f-f610-4033-a601-4094c095637f,
MSP63780037,Person,00,2ef16435-72b7-49f9-9877-d6d508b4d98c,
MSP63780037,Person,60.88,85f93aac-33a9-441d-8d85-2302d264ee64,
CC0237000R,Person,00,6ed54dd0-d3fe-46b3-8c9a-66d46bd3e53a,
MSP6041004B,Person,07,d8be9066-b767-4c3f-afef-b1346ad23fb3,
MSP6041004B,Person,11,d8be9066-b767-4c3f-afef-b1346ad23fb3,
AE44240016,Person,00,7274e1c2-4de2-4460-8971-080c7d342e81,
AC1830000J,Person,00,88b406eb-d377-470c-b21d-8fd8d9963623,
ADF451001G,Person,00,db9e21cc-9160-4e28-bfc5-ea75e87ca868,
DM8336000H,Person,00,c397bac6-5b35-4b2c-abf7-f3a7cd7b974b,
DM8336000H,Person,00,aaaef7da-f4f7-448f-94a6-43f74fac5302,
ADJ0820006,Person,00,a2b77e96-41b2-4e9b-9a7c-2161d34eb7cd,
ZW0130000K,Person,39.88,52113a63-f451-4258-b348-029437b8f1b5,
ZW0130000K,Person,38.88,52113a63-f451-4258-b348-029437b8f1b5,
ZW0130000K,Person,15,52113a63-f451-4258-b348-029437b8f1b5,
ZW0130000K,Person,09,52113a63-f451-4258-b348-029437b8f1b5,
